13,8,-9,3,8,-12
13,51,-8,-5,1,-11
-21,-11,-9,-12,-10,12
-15,4,-5,-15,-6,-7
-9,-5,9,7,-10,2
4,16,-10,-6,-3,2
-2,-54,36,-21,2,2
1,15,-45,12,4,-3
-1,17,3,-6,6,-13
-5,42,-23,25,8,2
2,31,8,26,1,1.5
-16,-5,-13,5,1,-8
-4,13,-4,-4,-22,-9
-9,19,19,-6,-2,2
-2,-12,5,2,-3,-13
-13,11,11,9,8,-2
9,-3,-4,-11,-14,2
-10,-9,-8,-38,-16,-6
35,-17,14,-4,1,-3
10,-24,2,14,-4,-5
-18,-6,-10,13,1,5
-10,-13,-5,17,2,2
3,16,2,-15,-7,-15
21,13,6,-19,-10,2
-50,5,-6,23,2,-12
-25,4,-21,3,1,-4
-1,11,-4,-20,4,0
-43,-16,-6,23,-5,-4
15,6,6,-4,-9,6
3,8,-18,21,-7,5
-87,-89,-84,-70,-59,-77
-88,-51,-43,-22,-42,-57
-61,-42,-40,-36,-24,-43
-51,-24,-11,-34,-38,-56
-52,-18,-13,-23,-20,-81
-36,-19,9,-31,-4,-76
-45,-28,-10,-30,-24,-73
-42,-3,-12,2,16,-93
-30,-11,-12,-36,2,-85
-70,-31,-3,-21,1,-72
-18,1,-14,-32,-25,-57
-36,-20,-15,-26,-11,-50
-22,-2,-3,-35,-30,-39
-14,-2,-9,-16,-15,-34
-27,-4,4,-36,-30,-15
-53,-32,-4,-18,-10,-32
-30,-21,-20,-22,-12,-16
-25,4,-11,-38,-10,-46
-37,-20,5,5,7,-31
-20,-15,-10,-12,-21,-31
-26,-20,-4,-29,-32,-15
-32,-12,-5,-3,-13,-25
-25,-2,-17,-36,-15,-4
-31,-5,-13,-7,-8,-15
-29,8,-12,-26,-45,3
-46,-13,3,-23,-7,-43
-18,-8,23,8,-21,-18
-43,5,-18,-35,-10,-12
-11,-5,7,-18,-31,-19
-29,-18,-8,-27,-6,-4
-17,-10,-7,-29,-29,-23
-21,4,-3,-6,6,-9
-12,29,-14,-8,-3,-9
-18,4,-8,-11,1,-6
-42,4,-3,-48,14,-20
-20,-4,-17,-5,-33,-8
-7,1,5,-4,20,4
-22,-3,9,-28,-32,8
-18,2,-25,-21,-20,-8
-37,-5,1,17,-15,-5
-52,-54,-78,-50,-64,-35
-53,-79,-45,-21,-57,-30
-55,-54,-43,-33,-4,-35
-37,22,-39,-24,5,-26
-38,2,28,-21,12,-40
2,-28,-48,-21,-10,-28
-39,-23,-31,-32,-15,-27
-30,-17,-9,-37,-31,-10
-20,-32,-44,-24,-25,-25
-13,-25,-19,-12,6,-8
11,-30,-3,-16,-10,-20
-52,-30,-7,-8,-21,-23
-43,-11,-13,-3,-6,-18
-18,-33,-16,-29,-11,-11
-19,-3,-8,-9,-27,-14
-77,21,26,-12,13,-10
9,5,-11,-12,-8,-14
-17,-18,-35,-26,-32,-6
-18,-4,41,-15,-9,-11
2,-15,-12,-14,-13,-18
-21,-13,-17,-16,-17,3
-7,7,7,-21,-12,-29
-30,6,16,-13,-6,2
-19,6,1,-30,1,-16
-22,11,2,-6,-28,-11
-11,18,-16,-14,-27,-28
-24,23,15,-12,-22,7
-22,20,-22,2,-18,-9
-19,-3,9,-13,-22,-8
-12,15,-31,-6,-22,-9
-22,-11,6,-20,-11,-17
-31,-18,18,-13,-5,-4
-9,26,-9,-17,-8,-11
1,-10,-15,12,-18,-24
-12,-7,-23,-8,-17,-19
-9,5,15,-33,-6,7
-33,12,10,-28,-41,-24
-15,-2,2,-32,-23,-10
-17,-5,-24,-12,-5,-23
-4,25,38,-38,-43,7
55,55,56,42,43,41
41,70,53,10,40,14
27,48,-5,12,32,7
20,39,20,-10,30,12
19,30,38,3,24,12
15,26,17,16,21,7
13,22,12,19,25,11
13,15,16,-8,13,7
-4,20,-4,6,30,3
24,14,11,35,22,3
-3,12,-10,17,18,4
24,7,1,-26,21,0
3,32,5,34,2,0
13,40,-14,6,45,-2
-4,31,21,-16,-3,-8
38,49,54,33,20,38
35,59,56,17,26,24
24,23,36,20,22,14
24,34,14,21,15,19
13,30,5,17,7,11
2,11,29,3,9,11
20,37,31,-3,14,19
7,12,-5,1,21,0
-8,16,20,6,26,7
11,21,27,16,15,6
-14,-9,3,24,13,5
2,23,19,7,25,-10
-22,17,19,23,-3,-6
2,9,23,35,7,0
-4,7,16,11,12,-14
