-8,-15,-9,5,-24,0
-7,2,-8,0,-11,3
-2,-9,-7,-6,-8.6,3
-23,-2,4,3,-14,-18
8,-22,-11,5,-6,7
-7,-17,-20,1,-18,-1
-2,2,5.5,20,-35,-12
-35,-5,-3.5,-17,-3.3,-17
21,-4,4,1,14,-1
-13,-12,0.6,-4,-24,-5
7,-15,-6,10,2.3,6
4,-17,-2.8,-2,-5,14
-17,5,-3,15,-8,-9
3,-27,3,1,-21,5
-5,-11,-18,-5,-3.8,-10
-2,11,0.8,-5,-40,13
4,14,-5.5,-12,-6,-2
1,2,11,3,-11,2
-8,-3,10,3,-12,-2
4,-5,8.6,11,-17,-3
5,-7,-12,4,-7,1
-12,-11,0.64,-8,-22,1
4,18,6.6,14,4.5,-14
-35,-18,19,-7,9.3,6
-17,1,-10,-2,2.4,-6
-4,7,16,-9,-4.3,-7
12,-13,-3.3,-5,-7,1
3,-9,-9,1,-13,4
-6,7,-12,6,10,-13
2,-14,-0.4,3,-8.3,10
-47,-76,-53,-58,-99,-60
-16,-56,-12,-44,-77,-32
-10,-6,-45,-56,-44,-25
-31,-45,-46,-51,-20,-23
-48,-24,16,-41,-29,-27
-33,-44,-45,-42,-18,8
-31,-41,-36,-38,-45,-25
-15,-20,-25,-28,-15,-3
-28,-14,-29,-4,-19,-22
-44,-24,-18,-20,-14,-7
-26,-37,-28,-14,-9,6
-34,-19,-16,-26,-6,-18
-29,-23,-14,-10,-15,-8
-38,-15,-37,-13,8.5,-8
-21,-13,-27,-10,-5.6,4
-8,-22,-24,-21,-12,-16
-11,-23,-25,-27,-12,-4
-18,-20,-15,-24,-15,-7
-34,-17,-28,-10,2.2,-10
-10,-15,-3.8,-7,1.2,5
-28,9,-11,-15,-21,-8
-26,-6,-13,-7,12,-12
-23,-12,-8,-10,-4,-4
-46,-11,-17,-9,-8,10
-9,-16,2.2,-17,-20,-21
-2,-8,1.4,-15,-5,3
-31,-5,-9,-6,1,-12
-26,-21,-20,-14,1.3,6
-8,-15,5.1,-19,-6,8
-17,2,-10,-3,10,-6
-28,-9,-12,-12,-8,-16
-25,3,-18,1,6,1
-16,-4,-6,-15,-15,-5
-21,3,-34,-30,9,-16
-26,-11,-6,0,4.8,-12
-38,-8,-10,8,-2.5,-19
-15,-11,-12,-17,3.1,1
-14,-10,-5,-14,2,-4
-22,-19,1.5,-11,4,6
-25,-2,-2.3,-9,-8.8,-11
19,-2,-20,-6,6,12
22,7,17,5,6,9
-32,1,7,13,17,6
1,4,6.4,12,9,3
12,-2,1,13,-5.5,-4
4,-3,-1.8,14,9,12
8,-4,-0.8,0,-6,1
20,6,-3,5,20,3
-13,-3,-14,15,1.2,13
13,-4,3.5,9,-11,-16
-13,-4,-6,-5,7,2
1,-3,4.5,-4,15,2
2,2,10,-3,2,-18
13,-7,-8,4,-22,-5
-3,1,11,-4,16,-6
42,38,29,58,40,56
35,38,17,43,42,34
5,20,14,25,37,14
-5,29,19,24,32,15
26,-4,2.3,24,7,6
30,-7,10,27,27,3
2,12,12,5,-8,6
-7,11,8,18,2,11
9,-7,8,17,3,8
19,22,-3,30,13,17
21,6,12,-5,-6,-8
24,8,5,-2,-16,18
25,-12,2.6,9,-4.3,3
18,7,18,3,18,-6
-1,10,13,13,-2.2,8
