12,-5,-5,-4,-13,-7,-1,0
5,-7,-38,-4,-14,-2,-8,-9
4,-7,19,-17,-5,-10,-22,-21
-13,-24,-3,10,-5,0,16,16
0,-5,-20,-6,-10,-4,6,7
3,1,14,-4,3,-3,14,15
-4,-13,17,0,4,2,1,2
-19,4,-36,-8,-9,4,3,3
3,4,-9,4,5,-3,-12,-13
-11,-4,7,-5,1,0,-8,-8
-12,8,-35,-11,-5,2,8,8
-7,-2,4,-14,-10,15,-2,-3
-11,3,1,-7,-6,-3,-22,-22
26,4,-22,7,0,2,1,2
-14,4,-11,2,8,11,1,-1
10,-14,-39,-10,-3,-1,2,2
-18,13,-42,-17,-2,12,-2,1
18,-10,-12,15,-3,-11,8,9
-28,-14,-6,-15,-1,-1,-3,-3
-2,-9,-14,-13,13,5,8,9
0,-5,-19,-2,-3,5,-3,-3
-28,-17,-19,0,0,-1,0,1
3,-4,-15,6,-12,-1,3,-3
2,-10,-4,-7,-5,6,-5,-5
-22,-1,-3,9,4,18,-2,-3
17,-19,-4,5,16,11,-6,-7
7,-4,-5,-1,-5,6,-5,-5
2,-8,2,3,12,23,23,23
1,6,-26,2,-4,-7,22,22
-19,-7,-7,-13,0,-1,-17,-17
-81,8,-67,-97,-61,-60,-41,-41
-30,-91,-17,-58,-78,-61,-28,29
-13,-87,-22,-51,-43,-50,15,16
-27,-86,-23,-64,-60,-48,-11,-11
-37,-85,-17,-52,-69,-43,-29,-30
-25,-37,-13,-57,-70,-64,29,30
-42,-78,9,-27,-75,-60,-51,-51
-8,-58,-8,-57,-69,-40,-20,-20
2,-52,-29,-61,-76,-38,-25,-25
-17,-53,-26,-39,-77,-3,-47,-48
-11,-98,-5,-19,-65,-64,-41,-45
-8,-68,-10,-16,-83,-52,-48,-49
-9,-55,3,-27,-57,-58,-42,-43
-14,-79,-22,-42,-92,-24,-84,-85
14,-119,-16,-48,-60,-27,-26,-27
-46,-82,-6,-24,-42,-60,-6,-6
-29,-57,-11,-43,-66,-65,-21,-21
-13,-62,-17,-49,-53,-51,-106,-108
-15,-54,-22,-29,-70,-58,-81,-84
-16,-93,-14,-49,-58,-68,-25,-26
-21,-76,-22,-30,-52,-67,-59,-60
-40,-112,-11,-37,-96,-70,-51,-59
-2,-41,1,-35,-60,-65,7,8
-23,-55,-22,-33,-70,-60,-58,-59
-42,-61,2,-29,-57,-47,-19,-19
1,-59,-11,-13,-107,-69,-47,-48
-24,-87,-31,-32,-105,-69,-39,-39
-39,-106,4,-43,-53,51,-75,-7
-7,-85,-5,-18,-40,-58,-93,-93
-13,-53,-26,-21,-43,-54,-14,-15
-18,-87,-37,-36,-79,-70,-67,-68
-45,-72,2,-13,-49,-90,-53,-54
3,-93,-3,-23,-43,-70,-38,-38
-11,-80,9,-23,-84,-95,-52,-45
-22,-65,5,-21,-48,-60,-32,19
-45,-73,-53,-8,-57,-62,-15,-16
3,-39,-1,-23,-53,-59,-37,-35
-30,-57,3,-12,-43,-73,-43,-44
-21,-60,10,-17,-46,-81,-44,-44
-58,-91,-23,-45,-48,-33,-17,-17
-3,-23,39,8,30,-63,26,27
5,-4,13,5,12,6,-24,29
0,-12,-36,7,18,-6,-9,-26
19,-4,24,-8,14,9,13,15
7,-3,-21,-9,17,-2,19,20
-3,-15,14,-14,11,13,25,8
-15,-10,-10,-1,0,-12,24,26
1,0,5,-2,17,16,7,7
-4,-15,0,-9,-9,7,9,11
-5,24,21,5,9,6,-7,-7
-5,-6,-15,-10,3,7,-9,-9
3,8,1,-6,2,5,20,-15
10,13,16,-13,-2,24,-9,11
-45,-27,-4,1,2,13,3,-10
-7,7,18,9,-6,30,2,2
60,6,-6,27,-16,52,-1,1
14,-3,30,25,0,13,-4,7
49,-14,-1,23,-10,12,2,-3
40,-1,12,31,-4,5,-11,2
16,9,19,20,8,8,-19,-15
44,4,2,14,-7,33,-14,-15
55,2,9,17,-8,27,6,7
29,1,-13,17,-13,18,22,23
42,7,-25,19,1,13,-2,-3
29,4,-5,23,6,24,-1,-4
-9,1,-3,40,-2,30,15,2
25,11,12,5,-11,35,-6,-6
44,1,15,12,-1,29,1,2
54,0,27,15,1,24,15,15
30,-2,3,25,-2,30,-12,-11
