-9,-20,-7.1,-3.4,-6
-9,-3,-12.7,-3.1,4
-5,19,2.1,-3.5,-21
5,11,-6.3,-2.8,-7
-3,-4,6,4.8,-11
2,5,2.5,4.6,-3
-5,5,-3.9,-3.7,-7
-7,-20,5.6,-11.6,-7
2,4,6.4,-3.7,-13
-12,3,2.8,-7.6,4
-5,3,-5,9.1,12
-10,-33,6.9,3.1,5
-13,-13,-11.1,1.9,1
-6,-1,5,-9.6,1
5,7,7.2,-6.2,-3
-7,-7,-5.3,8.7,-41
-4,-10,-11.4,5.5,-14
-10,-8,14.5,-10.5,-2
2,-15,11.3,-21,18
3,-15,-8.1,12.3,-17
-14,-15,-6.7,-5.5,3
13,-19,-5.1,-15,-5
-3,-19,0.7,4.9,-4
-12,-3,-8.2,8.5,-17
-7,8,-6,4.6,-15
-4,18,2.2,12.5,34
-8,3,-11.4,-17,-8
-5,-17,2.1,-16.2,-18
3,-20,9.5,-12.9,13
-4,26,3.2,-13,-68
-67,-56,-37.5,-67.1,-51
-62,-46,-30.3,-31.22,-52
-64,-35,-17.1,-25.7,-22
-48,-40,-8,-32.5,-21
-50,-25,-16.6,-19.3,-16
-54,-23,-14.7,15.7,-33
-44,-8,-13,-18.3,-25
-53,-22,-10.4,-11.4,-30
-45,1,-5.8,-12,-34
-40,-26,-8.2,-15.3,-3
-51,-16,-4.1,-16.7,-22
-41,-16,-9,-4.7,-27
-47,-11,-12.9,-31,-3
-42,3,-6,-2.6,-15
-36,-20,-2.8,-11.6,16
-51,5,8.1,3,5
-43,-11,-28.1,-21.1,2
-44,-18,-8.5,-5.9,-11
-45,-32,-12.2,-23.9,9
-41,-13,-2.6,-10.8,-11
-53,-43,-3.5,-12.3,-5
-48,-20,-5.7,-10.2,-13
-50,-23,-12.7,2,-8
-46,-18,-13.6,-28,-4
-56,-4,-11.1,-22.3,2
-37,4,-2.6,9.8,2
-58,-10,-21.2,-12.7,12
-28,-7,-10.5,-6.7,-8
-53,8,-15.6,-29.3,10
-64,-12,-6.2,-8,-8
-34,-34,-3.9,-21.3,-21
-50,-23,-5.6,-5.4,-13
-50,-14,-11.1,-14.8,27
-46,-21,-13.2,1.6,-15
-37,7,-10.9,-8.1,5
-50,-10,10.7,-27.8,2
-39,2,-9.1,-17.4,14
-40,1,2.2,9.6,10
-44,2,-2.8,-21.5,20
-75,-31,-19.3,-8.3,-33
-48,7,-62,-69.1,-26
-45,-57,-44.4,-39.2,-55
-52,1,-15.3,-55.5,-18
-43,-53,-30.6,-50.43,-42
-54,12,-26.8,-37,-7
-14,-42,-5,-28.6,-5
-32,-25,-20.1,-43.4,-16
-40,5,0.5,-25.7,-12
-44,-24,-1.1,-20.2,-27
-76,-30,-8,-28.7,-27
-29,-11,-10.6,-25.7,8
-31,-34,-6.3,-27.2,2
-47,-18,-10.1,-22,-3
-67,-8,-10.6,-15,1
-34,-25,-17.4,-22.6,-26
-32,-6,-36.5,-23,-24
-36,-18,-8.9,-30.4,-12
-61,2,-2.1,-2.3,-5
-50,12,-8.9,-46.1,-28
-32,-17,-15.3,-28,-7
-28,4,-13.5,-1.2,-10
-25,-14,-16.1,-23.1,-12
-21,-24,-25.8,-33.1,3
-47,-32,-17.3,-36.7,2
-45,21,15.1,-1.4,-10
-50,-15,-18.3,-20.2,7
-59,-18,-21.2,-20.5,-4
-56,-7,-11,1.4,17
-35,-13,2.6,-18.1,-3
-36,-50,-3.9,-14.3,4
-28,-7,-7.4,2.3,13
-66,-26,4.5,-7,19
-69,-37,-17.6,-21,19
-54,-27,-10.2,-11,2
-48,-3,-3.7,-30.3,36
-58,11,-3.7,-8.3,12
-58,-40,-6.9,-6.5,-12
-53,18,-4.6,-8.4,4
-40,16,-10.9,-9.7,4
-59,-18,-18,-7.6,35
24,3,19.1,58.5,16
29,43,25,49.2,7
28,22,29.4,30.6,14
28,-9,22.7,8.6,10
35,-7,11.5,29.7,12
38,36,20.1,-0.7,10
19,-7,33.6,-5.4,-12
14,36,10.1,10.7,9
16,-7,-7.6,15,2
6,2,16.4,2.3,-9
3,20,19.9,-15.9,2
-7,-18,5.9,-6.1,6
1,8,7.8,6.9,7
2,2,-4.4,1.9,5
1,13,8.1,-6.7,49
23,-3,8.1,29.5,37
18,9,29,23.4,22
18,13,23.3,21.7,22
4,-19,13.2,22,20
11,15,5.4,19.5,14
4,6,16.3,10.2,-8
2,-2,17.1,-3.7,4
7,1,13.1,-6.9,-14
3,1,10.3,4.5,-16
2,19,5.8,-1.9,27
14,32,2.2,-3.6,14
2,22,3.2,-3.5,46
-9,-22,11.2,5.6,27
-8,-10,0.9,-4.2,27
10,25,1.1,-8.9,5
